GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
projetogrupo2,br.gama.itau.projetogrupo2.controller,MovimentacaoController,15,3,2,0,4,1,2,1,1,1
projetogrupo2,br.gama.itau.projetogrupo2.controller,ClienteController,24,8,2,0,6,2,3,2,2,2
projetogrupo2,br.gama.itau.projetogrupo2.controller,ContaController,45,3,4,0,11,1,6,1,4,1
projetogrupo2,br.gama.itau.projetogrupo2.service,ClienteService,12,103,3,7,3,23,3,7,0,5
projetogrupo2,br.gama.itau.projetogrupo2.service,ContaService,68,6,6,0,17,1,8,1,5,1
projetogrupo2,br.gama.itau.projetogrupo2.service,MovimentacaoService,48,9,4,0,11,1,3,1,1,1
projetogrupo2,br.gama.itau.projetogrupo2.dto,MovimentacaoDTO,3,0,0,0,1,0,1,0,1,0
projetogrupo2,br.gama.itau.projetogrupo2.dto,ClienteDTO,19,31,0,0,2,10,5,5,5,5
projetogrupo2,br.gama.itau.projetogrupo2.dto,ContaDTO,28,22,0,0,5,7,8,2,8,2
projetogrupo2,br.gama.itau.projetogrupo2,Projetogrupo2Application,5,3,0,0,2,1,1,1,1,1
projetogrupo2,br.gama.itau.projetogrupo2.exception,NotFoundException,4,0,0,0,2,0,1,0,1,0
projetogrupo2,br.gama.itau.projetogrupo2.exception,ExceptionDetails,47,0,0,0,6,0,10,0,10,0
projetogrupo2,br.gama.itau.projetogrupo2.exception,ExceptionDetails.ExceptionDetailsBuilder,45,0,0,0,1,0,7,0,7,0
projetogrupo2,br.gama.itau.projetogrupo2.exception,HandlerExceptions,19,3,0,0,7,1,1,1,1,1
projetogrupo2,br.gama.itau.projetogrupo2.model,Cliente.ClienteBuilder,12,42,0,0,0,1,1,7,1,7
projetogrupo2,br.gama.itau.projetogrupo2.model,Movimentacao,42,3,0,0,7,1,12,1,12,1
projetogrupo2,br.gama.itau.projetogrupo2.model,Cliente,20,37,0,0,1,6,5,7,5,7
projetogrupo2,br.gama.itau.projetogrupo2.model,Conta.ContaBuilder,24,39,0,0,0,1,3,6,3,6
projetogrupo2,br.gama.itau.projetogrupo2.model,Conta,30,37,0,0,3,5,8,6,8,6
